Korean,English
엄마,Mom (informal)
어머니,Mother (formal)
아빠,Dad (informal)
아버지,Father (formal)
누나,Old sister – if you are male
언니,Old sister – if you are female
형,Old brother – if you are male
오빠,Old brother – if you are female
동생,younger sibling
남동생,Younger brother
여동생,Younger sister
형제,brothers
자매,sisters
남매,brother and sister
남편,husband
아내,wife
부부,married couple
아들,Son
딸,Daughter
쌍둥이,Twins
세 쌍둥이,Triplets
"며느리, 자부",Daughter in law
삼촌,Uncle
이모,Aunt
할아버지,Grandfather
할머니,Grandmother
가족,family
사람,Human
사랑,Love
첫사랑,First love
짝사랑,Secret crush
짝사랑,Secret crush
남자,Boy
여자,Girl
친구,Friend
남자친구,Boyfriend
여자친구,Girlfriend
삼각관계,Love triangle
데이트,Date
소개팅,Blind date
커플,Couple
결혼,marriage
연애편지,Love letter
드라마,Drama
배우,Actor
여배우,Actress
싫어,Hate
감추다,Hide
"도와주다, 도움",Help
감독,Director
영화,Film
언제,When
지금,Now
이제,Now
현재,"Present tense,now"
곧,"Soon, At once"
때때로,Sometimes
언젠가,Some time
그때,That time
결코,Never
아직,Yet
아직,still
여기,here
거기,there
저기,over there
한번,once
두번,twice
자주,often
계속,continuously
늘,always
가끔,sometimes
때때로,occasionally
종종,occasionally
아주,very
잘,well
대단히,very
완전히,perfectly
굉장히,very much
단순히,simply
매우,very
상당히,very
너무,too
더,more
덜,less
엄청,enormously
불과,only
제일,The first
마구,at random
절대로,absolutely
무려,as many as
얼마나,how much
몇이나,how many
어느,which
누가,who
어디서,where
어떻게,how
언제,when
무엇을,what
왜,why
"피부, 살갗",skin
신체/몸,body
머리,head
머리카락,hair
얼굴,face
보조개,dimple
이마,forehead
눈,eye
눈썹,eyebrow
눈꺼풀,eyelid
속눈썹,eyelashes
눈동자,pupil
귀,ear
볼 / 뺨,cheek
코,nose
콧구멍,nostrils
입,mouth
"이, 이빨",tooth
입술,lips
잇몸,gum
혀,tongue
턱,chin
감사합니다,Thank You
천만에요,You’re welcome
잠시만요,Excuse me
주세요,Give me
죄송합니다,I’m sorry
예,Yes
아니요,No
파이팅, C’mon!
대박, Awesome
콜,Sure
아싸,Yay
주다,Give
가다,Go
놀다,Play
누르다,Press
달리다,Run
쓰다,Write
읽다,Read
하나,One
둘,Two
셋,Three
넷,Four
다섯,Five
여섯,Six
일곱,Seven
여덟,Eight
아홉,Nine
열,Ten
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
먹다,Eat
마시다,Drink
자다,Sleep